# 1:time 2:hplus 3:hcross
1.1988991930e-02 -6.4488223818e-03 -1.5049280757e-06
1.1998247351e-02 -6.2541383138e-03 -2.3945884330e-06
1.2007402725e-02 -5.9918272278e-03 -3.5931688389e-06
1.2016657437e-02 -5.6733928995e-03 -5.5499173865e-06
1.2025911285e-02 -5.3018118940e-03 -6.7557027732e-06
1.2035169658e-02 -4.8836362034e-03 -6.5249910857e-06
1.2044428135e-02 -4.4254755122e-03 -7.0520893826e-06
1.2053687517e-02 -3.9642492430e-03 -8.2827555848e-06
1.2062946474e-02 -3.5137870830e-03 -9.8741093976e-06
1.2072203785e-02 -3.0457600355e-03 -1.0168563614e-05
1.2081460084e-02 -2.5392724604e-03 -1.0190328139e-05
1.2090714471e-02 -2.0149270957e-03 -1.1268377728e-05
1.2099969018e-02 -1.4985055611e-03 -1.1499867272e-05
1.2109223468e-02 -9.9487499384e-04 -1.2262936353e-05
1.2118477768e-02 -5.2136539778e-04 -1.3372913475e-05
1.2127734535e-02 -1.0146051552e-04 -1.3046539127e-05
1.2137002589e-02 2.7386168113e-04 -1.3416797772e-05
1.2146259954e-02 6.2548093213e-04 -1.4164671219e-05
1.2155515040e-02 9.3886270005e-04 -1.2933409312e-05
1.2164780731e-02 1.1742426664e-03 -1.2713101693e-05
1.2174037911e-02 1.3141997234e-03 -1.2659815455e-05
1.2183300529e-02 1.3789286427e-03 -1.1620554932e-05
1.2192559923e-02 1.3964104057e-03 -1.1083904079e-05
1.2201814864e-02 1.3828031338e-03 -1.1035513949e-05
1.2211073977e-02 1.3091726082e-03 -1.0520994499e-05
1.2220340234e-02 1.1459041916e-03 -9.1439495404e-06
1.2229609763e-02 8.9881466869e-04 -8.3358142462e-06
1.2238863802e-02 5.7599034120e-04 -7.4473943015e-06
1.2248118065e-02 2.0548906216e-04 -5.9362485173e-06
1.2257369756e-02 -1.9752645193e-04 -4.9947777513e-06
1.2266625274e-02 -6.4328099465e-04 -4.7873486243e-06
1.2275887493e-02 -1.1388345926e-03 -3.8556073692e-06
1.2285145038e-02 -1.7013936940e-03 -2.9088292960e-06
1.2294400583e-02 -2.3443574476e-03 -1.9713954298e-06
1.2303655935e-02 -3.0266795075e-03 -5.3189510784e-07
1.2312909637e-02 -3.6944115514e-03 5.9485954403e-07
1.2322173009e-02 -4.3342352286e-03 1.4170620047e-06
1.2331431036e-02 -4.9413270896e-03 1.7715428103e-06
1.2340685695e-02 -5.4783067363e-03 2.8438194939e-06
1.2349939879e-02 -5.8971907203e-03 4.1326258691e-06
1.2359194689e-02 -6.1846846909e-03 6.2122867619e-06
1.2368448514e-02 -6.3475328734e-03 7.5503465773e-06
1.2377712083e-02 -6.3923624107e-03 7.8219222549e-06
1.2386971717e-02 -6.3298305482e-03 1.0002930185e-05
1.2396231457e-02 -6.1686115761e-03 1.2309242055e-05
1.2405487978e-02 -5.9390878077e-03 1.3458373003e-05
1.2414745359e-02 -5.6555171969e-03 1.4930787704e-05
1.2424000752e-02 -5.3199878520e-03 1.6554747673e-05
1.2433264240e-02 -4.9343482182e-03 1.7847726161e-05
1.2442521876e-02 -4.5031179124e-03 1.9381280587e-05
1.2451778006e-02 -4.0806943954e-03 2.0278472992e-05
1.2461036522e-02 -3.6886897030e-03 2.0867861295e-05
1.2470292443e-02 -3.2933010878e-03 2.1842391813e-05
1.2479548296e-02 -2.8778515520e-03 2.2162824080e-05
1.2488801862e-02 -2.4627832833e-03 2.1604722099e-05
1.2498055167e-02 -2.0761092617e-03 2.1505570118e-05
1.2507311425e-02 -1.7165084587e-03 2.1638853681e-05
1.2516565804e-02 -1.3657696619e-03 2.0776900002e-05
1.2525820269e-02 -1.0305666992e-03 1.8637559280e-05
1.2535076501e-02 -7.3442926845e-04 1.7226016958e-05
1.2544331220e-02 -4.7700469718e-04 1.5761264965e-05
1.2553594643e-02 -2.3672026712e-04 1.3810697757e-05
1.2562851688e-02 -7.9073195653e-06 1.2943722857e-05
1.2572107199e-02 1.8434175399e-04 1.0293049111e-05
1.2581363326e-02 3.1037642648e-04 8.3336999934e-06
1.2590620245e-02 3.8138361504e-04 7.0018837222e-06
1.2599884199e-02 4.4569737790e-04 4.4098813765e-06
1.2609137534e-02 5.1991451912e-04 3.1657214185e-06
1.2618392735e-02 5.6787152134e-04 2.0282607035e-06
1.2627648358e-02 5.6053963943e-04 -6.6808157861e-07
1.2636902636e-02 5.2086919449e-04 -3.4400579284e-06
1.2646157406e-02 4.6888142455e-04 -5.1500948976e-06
1.2655413860e-02 3.8788278996e-04 -7.2781513967e-06
1.2664669027e-02 2.6759669014e-04 -8.8398643887e-06
